subQ,,,,,,,
how would you characterize this persons alcohol problem?,"so i ask you, general public, would you call my husbands drinking problems ""alcoholism"", or what would you call it?",,,,,,
mentally addicted to alcohol but not phsyically addicted?,,,,,,,
support for mothers who have had their child removed from their care due to alcohol addiction?,i just wondered if anyone could relate to the shame and guilt one feels for doing so and then having to accept responsibility for the consequences. ,,,,,,
how can i help my alcoholic uncle?,,,,,,,
how do i accept others drinking when my mother is an alcoholic?,what can i do to be more comfortable with him drinking and realize that not everyone who drinks alcohol is going to cause me the pain my mother did? ,,,,,,
could i develop alcoholism?,,,,,,,
how long does it take your body to recover from alcohol abuse?,,,,,,,
"does pot make people more stupid than alcohol, or is the effects about the same?",what drunk have you ever seen act intelligent?,why do people get addicted to this doing these things?,is it like a competition with friends to see who can act dumber?,"why do some stoners claim it doesnt make them dumber, isnt that just dumb?",why would someone want to do drugs to escape reality?,,
bringing alcohol in checked luggage underage?,will i get caught?,"im traveling alone and im 20 years old and 4 months, and its getting ridiculous that the drinking age is 21 in the u. s.  what are the risks? ",,,,,
isnt people living in cold regions cant survive without drinking alcohol and smoking cigarettes?,,,,,,,
what makes alcohol molecules different from water molecules?,,,,,,,
what can happen if i put 70% alcohol on my penis?,,,,,,,
whats the alcohol percentage in chateau julien chardonnay?,,,,,,,
if i took equate nite time will i pass a etg alcohol test the next day?,,,,,,,
why the electrolyte of this cell must be acid to react with alcohol?,,,,,,,
my bf broke up with me..if you have a hard family life style like alcohol or gambling please help guys too?,guys especially is there anything else i can do?,,,,,,
how do i learn to like alcohol?,"any tips on how to overcome this, or should i give up on ever liking alcohol. ",,,,,,
anybody have any ideas for non-alcoholic drinks for christmas?,,,,,,,
what do you think about m & s allowing muslims not to serve people with pork and alcohol?,have m & s dug a big hole for themselves?,,,,,,
i have started drinking alcohol that i like but i want to stop?,is this a weird thing to be thinking or am i neigh rational?,,,,,,
do republicans or democrats tend to drink more alcohol based on surveys?,,,,,,,
"i know alcohol thins blood, so what alcohol can you drink to get drunk but keep your blood pretty thick?",,,,,,,
how do i make alcohol taste good?,,,,,,,
how much alcohol will get me tipsy?,,,,,,,
what is consider alcohol abuse?,,,,,,,
how will alcohol affect my medications?,,,,,,,
i need alcohol now!!!?,,,,,,,
my friend took some pills and alcohol will she be ok ?,,,,,,,
high tolerance to medication and alcohol?,any suggestions as to what is going on? ,,,,,,
math helpase . recall that blood alcohol content (bac) is a measurement of how much alcohol is in someone?s bl?,,,,,,,
will one shot of alcohol calm my nerves?,would just one shot help me?,,,,,,
turn red when i consume alcohol?,how true is it and if so what kind of heartburn medicine should i get? ,,,,,,
why do i seem to always get cold symptoms..when ever i over drink alcohol?,,,,,,,
why do people drink alcohol?,,,,,,,
stress and alcohol 5 days late :( ?,,,,,,,
"if i drank last wednesday, is the alcohol still in my system?",,,,,,,
is it safe to pour rubbing alcohol down the drain?,,,,,,,
my liver ultrasound shows mild coarseness. i have quit alcohol and losing weight. please help. i am 35?,,,,,,,
will i get in trouble if i have alcohol in my student film if im 18?,,,,,,,
where can i buy alcohol at online?,,,,,,,
what should i do about getting caught with alcohol in the dorm?,,,,,,,
how long does alcohol stay in youre system for drug testing?,,,,,,,
what is the cause of alcoholism?,,,,,,,
can alcoholism or alcohol abuse cause hiv?,,,,,,,
why do alcoholic individuals tend to refuse help?,,,,,,,
why does alcoholism tend to run in families?,,,,,,,
how would alcohol affect someone in zero gravity?,have the astronauts ever conducted this (fun for a change) experiment? ,,,,,,
benadryl and alcohol,,,,,,,
does jams drug test $9 test test for alcohol or just drugs the breathalyzer is apart of that $9?,"my question is if the drug test would test me for alcohol and would i pass, mind you this is not an etg test. ",,,,,,
"cleaning with windex, soap and rubbing alcohol?",,,,,,,
can you consume alcohol in the early stages of taking anti-depressants?,,,,,,,
"i really like the smell of hand sanitizer and rubbing alcohol. is that a bad thing, am i wierd and the only 1.?","is that a bad thing, am i wierd and the only 1. ?",,,,,,
atheists: how would you respond if muslims wanted to ban pork and alcohol in your country?,,,,,,,
is it normal to feel shaky after a night of drinking alcohol?,,,,,,,
"which alcohol has the greater enthalpy, ethanol or propanol?",,,,,,,
am i a alcoholic?,,,,,,,
bringing alcohol on flight outside of the us?,is it illegal for me to take the alcohol out of the us if im underage?,,,,,,
why is it so weird that i dont drink alcohol?,"my decision isnt a moral one, so why would i put down anyone for doing something that i dont think is wrong (and even if i did, i wouldnt be vocal about it).",,,,,,
percentage of alcohol question...?,what percentage of alcohol does one shot of crown royal have?,,,,,,
how long after drinking will alcohol show up in a urine test?,how long will alcohol be found in my urine?,,,,,,
christians alcohol sale is very very high during christmas.did jesus teach you to consume alcohol?,did jesus teach you to consume alcohol?,what does it mean if it doesnot prohibit alcohol?,,,,,
boyfriend going to turn into an alcoholic?,,,,,,,
"in canada, is it illegal to give a minor alcohol?",,,,,,,
want to leave my alcoholic husband?,,,,,,,
about 3 days im gonna get my belly pierced and i wanna know why i can not drink alcohol after that?,,,,,,,
"not 21, possession of alcohol?",,,,,,,
does islam really forbid alcohol consumption?,,,,,,,
"why would a muslim not serve alcohol in western store, but muslims would take social security?","which would come from the tax money of haram goods such as swine, alcohol, cigarettes etc?",are these people capable of thinking?,,,,,
what kind of bodily mutation would help a person withstand more alcohol?,,,,,,,
how long after taking 30mg of paxil can i drink alcohol?,i do t drink all the time just xmas and new years i didnt take it today cause i new id drink i had 5 shots if i take 20mg in the morning can i drink by diner,,,,,,
why does alcohol make me turn into a fool?,,,,,,,
should i see a doctor about possible alcohol poisoning?,,,,,,,
is it illegal to try and buy alcohol if youre under age?,"can you hold this here for me while i go get it? """,is there any chance at all that the cashier would actually just let me take the alcohol?,,,,,
will excessive alcohol consumption cure my cold?,,,,,,,
is it normal for concussion symptoms to return from drinking alcohol?,,,,,,,
how early should i start drinking alcohol today?,,,,,,,
how much would whiskey (40% alcohol) would i have to consume to get tipsy/drunk/buzzed?,,,,,,,
"i drank 2-3 alcoholic drinks nine hours ago, ate dinner and drank water, and just took a sleeping pill. is?",,,,,,,
is my mom an alcoholic?,,,,,,,
antidepressant and alcohol?,can the reaction still kick in or am i just lucky?,,,,,,
non-alcoholic fosters?,,,,,,,
"so, tell me, tell me! what are you having for xmas dinner what about sweets/deserts what about alcohol?",what are you having for xmas dinner what about sweets/deserts what about alcohol?,,,,,,
does the calories in alcohol put on the same weight as the food equivalent?,,,,,,,
will alcohol make me tired?,i have real difficulty sleeping sometimes and i was wondering if i drink a little bit of say port or wine will i fall asleep?,,,,,,
can nd sell alcohol on christmas?,are alcohol sales legal in minot nd on christmas,,,,,,
resperdone and alcohol?,is it safe to take my resperdone tonight? ,,,,,,
paracetamol and alcohol?,"ive had 6 units of alcahol (3 ciders) and 2 paracetamol, will i be alright? ",,,,,,
why does alcohol make me cry?,,,,,,,
why do we add the amylic alcohol in the gerber method?,what are the chemical reactions that took place ( with structural formula)? ,,,,,,
hydrocodone and alcohol?,"did not drink monday, but drank about 7 or 8 beers tuesday.",,,,,,
can i take alcohol just after taking citalopram 20mg?,,,,,,,
help!! hydrocodone and alcohol?,should i see a doctor tomorrow if it still feels bad?,,,,,,
hydrocodone and alcohol mixed?,"did not drink monday, but drank about 7 or 8 beers tuesday.","could it be my liver, or some other problem?",should i see a doctor tomorrow if it still feels bad?,"and if it is my liver, why did it take 2 days to begin to hurt. ",,,
"if i took 2 500mg acetaminophen, could i drink alcohol?",so i have a terrible headache and i took 2 500 mg tylenol and i have a party to go to so is it okay to drink,,,,,,
will drinking alcohol affect the rate at which my foot heals?,,,,,,,
why do alcoholics drink more at the holidays?,,,,,,,
how long should you wait after drinking alcohol to take tylenol?,"i took the tylenol at 7pm, should i be okay?",,,,,,
can teenagers be addicted to alcohol?,,,,,,,
"can you inject alcohol in ur veins, just like injecting heroin ?",,,,,,,
will alcohol mess up my gains?,what will 3 shots of 90 proof vodka do?,,,,,,
a nightcap is usually an alcoholic drink taken at the end of the day.?,will alcohol mess up my gains,,,,,,
do moisturising products with alcohol in them dehydrate the skin at all?,"the heisenberg additional details if not, why do they have alcohol as an ingredient? ",,,,,,
i have a depresse alcoholic mother. help?,do moisturising products with alcohol in them dehydrate the skin at all ,,,,,,
i love drinking alcohol and im a teen?,,,,,,,
how can i ship alcohol overseas?,is there some loophole i can use to make sure she gets this wine?,,,,,,
do you enjoy drinking alcohol?,how can i ship alcohol overseas,,,,,,
atheists: what do you think of the muslim rules of alcohol and pork?,do you enjoy drinking alcohol,,,,,,
alcohol blackouts becoming more common?,do not reply with stop drinking.,,,,,,
is alcohol good for ones health?,,,,,,,
ibuprofen and alcohol ?,is alcohol good for ones health,,,,,,
why does alcohol make us feel.....?,,,,,,,
"as a possible kidney donor, can i drink any alcohol at all?",,,,,,,
why can muslims in england refuse to serve alcohol and pork at supermarket checkouts?,,,,,,,
is it possible that i have a gene that predisposes me to alcoholism if my dad was an alcoholic?,,,,,,,
do you know an appropriate way to treat an old man for alcoholism and a start of dementia?,,,,,,,
how much alcohol will i need for 250 guests?,,,,,,,
"i think my mother is on the road to becoming an alcoholic,what do i do?",,,,,,,
question about buying alcohol at register?,and why cant they just look at the birthdate and know that i am at least 21?,,,,,,
alcohol bad hangover?,,,,,,,
